Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Voided,PUR226,23/10/2025,INTERMEDICA LIMITED,1.00,79498,79498,Options Bill Lines Edit Print
Voided,PUR225,17/12/2025,CHEMOQUIP LTD,1.00,53550,53550,Options Bill Lines Edit Print
Voided,PUR191,26/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,240.00,132000,132000,Options Bill Lines Edit Print
Voided,PUR145,26/11/2025,COMPLAST INDUSTRIES LIMITED,108.00,101628,101628,Options Bill Lines Edit Print
Voided,PUR135,21/10/2025,ALLIED MEDICAL SUPPLIES LIMITED,1.00,800,800,Options Bill Lines Edit Print
Voided,PUR134,12/11/2025,ALLIED MEDICAL SUPPLIES LIMITED,25.00,19500,19500,Options Bill Lines Edit Print
Voided,PUR098,04/11/2025,SILCAT INVESTMENT LIMITED,1.00,190000,190000,Options Bill Lines Edit Print
Voided,PUR097,04/11/2025,SILIHIYA CARGO & SHIPPING AGENCY,1.00,86190,86190,Options Bill Lines Edit Print
Voided,PUR096,10/11/2025,LITHI PURIFIED WATER,3.00,900,900,Options Bill Lines Edit Print
Voided,PUR094,04/11/2025,MICROARRAY LIMITED,13.00,30000,30000,Options Bill Lines Edit Print
Voided,PUR070,30/11/2025,BIBO PHARMACEUTICALS LTD,2.00,650,650,Options Bill Lines Edit Print
Voided,PUR066,06/10/2025,CROWN HEALTHCARE,1000.00,310000,310000,Options Bill Lines Edit Print
Voided,PUR055,22/10/2025,TRUMARK TECHNOLOGIES,1.00,5220,5220,Options Bill Lines Edit Print
Voided,PUR051,22/10/2025,TRUMARK TECHNOLOGIES,1.00,4500,4500,Options Bill Lines Edit Print
Voided,PUR040,24/10/2025,MULTIGEN SUPPLIES LIMITED,20.00,5000,5000,Options Bill Lines Edit Print
Voided,PUR017,14/10/2025,CHAMEX LOGISTICS,1.00,7000,7000,Options Bill Lines Edit Print
Voided,PUR015,09/10/2025,PAULA SOLUTIONS LTD,1.00,3150,3150,Options Bill Lines Edit Print
